지점,지점명,일시,기온(°C),풍속(m/s),습도(%),현지기압(hPa)
108,서울,2020-10-10 1:00,14.8,2.5,65,1011.9
108,서울,2020-10-10 2:00,14.2,1.8,67,1011.4
108,서울,2020-10-10 3:00,13.7,2.2,70,1011.3
108,서울,2020-10-10 4:00,13.1,1.2,71,1011.3
108,서울,2020-10-10 5:00,12.5,1.4,72,1011.5
108,서울,2020-10-10 6:00,12.4,1.7,73,1011.5
108,서울,2020-10-10 7:00,12.3,2,76,1011.5
108,서울,2020-10-10 8:00,13.2,1.2,75,1011.8
108,서울,2020-10-10 9:00,15.9,2.7,64,1011.7
108,서울,2020-10-10 10:00,17.7,3.2,57,1011.6
108,서울,2020-10-10 11:00,18.8,3.2,54,1011
108,서울,2020-10-10 12:00,20.3,2.8,48,1010.2
108,서울,2020-10-10 13:00,20.7,2.7,45,1009.5
108,서울,2020-10-10 14:00,20.9,2.4,44,1009.1
108,서울,2020-10-10 15:00,21.1,1.8,44,1008.7
108,서울,2020-10-10 16:00,20.8,1.9,46,1008.5
108,서울,2020-10-10 17:00,20.1,2.4,50,1007.7
108,서울,2020-10-10 18:00,18.9,2.6,53,1007.4
108,서울,2020-10-10 19:00,18,1.8,55,1007.3
108,서울,2020-10-10 20:00,17.5,1.1,60,1008.3
108,서울,2020-10-10 21:00,16.7,1.2,63,1008.5
108,서울,2020-10-10 22:00,16.4,1.1,64,1008.7
108,서울,2020-10-10 23:00,16.2,1.2,64,1009.2
108,서울,2020-10-11 0:00,16,2.4,66,1008.1
